Groups,class,Season,Year,Value,Imperviousness,majority,wetland,Lat,Long
CCR sniper tower,Natural,Summer,2023,3,0.1,shrub/scrub,not,26.0070255,-97.4821575
Unit 1,natural,Summer,2020,2,0.13,shrub/scrub,not,26.0070255,-97.4821575
Unit 1,natural,Summer,2020,2,0.13,shrub/scrub,not,26.0070255,-97.4821575
Unit 1,natural,Winter,2020,2,0.13,shrub/scrub,not,26.201,-97.418
Unit 1,natural,Summer,2019,3,0.13,shrub/scrub,not,26.151,-97.95
Unit 1,natural,Winter,2018,4,0.13,shrub/scrub,not,26.151,-97.95
Unit 1,natural,Winter,2021,4,0.13,shrub/scrub,not,26.151,-97.95
Cactus Creek Ranch,natural,Winter,2021,2,0.22,shrub/scrub,not,26.151,-97.95
Cactus Creek Ranch,Natural,Summer,2023,2,0.22,shrub/scrub,not,26.151,-97.95
Cactus Creek Ranch,natural,Summer,2021,4,0.22,shrub/scrub,not,26.151,-97.95
Cactus Creek Ranch,natural,Summer,2023,4,0.22,shrub/scrub,not,26.151,-97.95
Cactus Creek Ranch,natural,Winter,2023,4,0.22,shrub/scrub,not,26.151,-97.95
Boat Storage,Natural,Summer,2023,3,0.28,crops,not,26.151,-97.95
Palm In,natural,Winter,2018,2,0.315,wetland,is,26.151,-97.95
Palm In,natural,Summer,2019,3,0.315,wetland,is,26.19,-97.653
Palm In,natural,Summer,2020,2,0.34,wetland,is,26.112,-97.33
Palm In,natural,Winter,2020,2,0.34,wetland,is,25.975,-97.436
Palm Ln,natural,Summer,2023,3,0.34,wetland,is,25.975,-97.436
Palm In,natural,Winter,2023,4,0.34,wetland,is,25.975,-97.436
Palm In,natural,Winter,2021,5,0.34,wetland,is,25.975,-97.436
Bahia Yellow 1,natural,Summer,2023,1,0.39,open water,not,25.975,-97.436
Bahia Yellow 1,natural,Summer,2020,2,0.39,open water,not,25.975,-97.436
Bahia Yellow 1,natural,Winter,2021,2,0.39,open water,not,25.975,-97.436
Bahia Yellow 1,Natural,Summer,2023,2,0.39,open water,not,25.975,-97.436
Bahia Yellow 2,natural,Winter,2021,2,0.39,open water,not,25.975,-97.436
Bahia Yellow 3,natural,Summer,2020,2,0.39,open water,not,25.975,-97.436
Bahia Yellow 1,natural,Winter,2023,3,0.39,open water,not,25.975,-97.436
Bahia Yellow 2,natural,Summer,2020,4,0.39,open water,not,26.16,-97.358
Bahia Yellow 1,natural,Summer,2018,2,0.41,open water,not,26.16,-97.358
Bahia Yellow 1,natural,Summer,2018,2,0.41,open water,not,26.16,-97.358
Bahia Yellow 1,natural,Winter,2018,2,0.41,open water,not,26.16,-97.358
Bahia Yellow 1,natural,Summer,2019,2,0.41,open water,not,26.16,-97.358
Bahia Yellow 2,natural,Summer,2018,2,0.41,open water,not,26.035,-97.259
Bahia Yellow 2,natural,Summer,2018,2,0.41,open water,not,26.035,-97.259
Bahia Yellow 2,natural,Winter,2018,2,0.41,open water,not,26.035,-97.259
Bahia Yellow 2,natural,Summer,2019,2,0.41,open water,not,26.035,-97.259
Bahia Yellow 2,natural,Summer,2019,2,0.41,open water,not,26.035,-97.259
Bahia Yellow 2,natural,Winter,2019,2,0.41,open water,not,26.035,-97.259
Bahia Yellow 3,natural,Summer,2018,3,0.41,open water,not,26.035,-97.259
Bahia Yellow 3,natural,Summer,2019,3,0.41,open water,not,26.035,-97.259
Bahia Yellow 3,natural,Winter,2019,3,0.41,open water,not,26.034,-97.311
Palmito,natural,Summer,2021,2,0.47,wetland,is,26.034,-97.311
106 Corridor ,Natural,Summer,2023,3,0.5,wetland,is,26.034,-97.311
Unit 8,Natural,Summer,2023,3,0.5,open water,not,26.034,-97.311
Wind Farm ,natural,Summer,2018,2,0.52,shrub/scrub,not,26.034,-97.311
Wind Farm ,natural,Summer,2019,2,0.52,shrub/scrub,not,26.034,-97.311
Wind Farm ,natural,Summer,2019,3,0.52,shrub/scrub,not,26.034,-97.311
Wind Farm ,natural,Summer,2020,3,0.52,shrub/scrub,not,26.034,-97.311
Wind Farm ,natural,Winter,2020,3,0.52,shrub/scrub,not,26.034,-97.311
Wind Farm ,natural,Summer,2020,4,0.52,shrub/scrub,not,26.034,-97.311
Wind Farm ,natural,Winter,2023,4,0.52,shrub/scrub,not,26.034,-97.311
Wind farm,Natural,Summer,2023,6,0.52,shrub/scrub,not,26.034,-97.311
Bahia Red,natural,Summer,2020,2,0.63,wetland,is,26.034,-97.311
Bahia Red,natural,Winter,2020,2,0.63,wetland,is,26.034,-97.311
Bahia Red,natural,Summer,2023,2,0.63,wetland,is,26.034,-97.311
Bahia Red,natural,Summer,2020,3,0.63,wetland,is,26.034,-97.311
Gavito,natural,Summer,2018,2,0.65,wetland,is,26.034,-97.311
Gavito,natural,Summer,2018,2,0.65,wetland,is,26.034,-97.311
Gavito,natural,Winter,2018,2,0.65,wetland,is,26.034,-97.311
Gavito,natural,Summer,2019,2,0.65,wetland,is,26.034,-97.311
Gavito,natural,Winter,2019,2,0.65,wetland,is,26.034,-97.311
Gavito,natural,Summer,2020,2,0.65,wetland,is,26.178,-97.351
Gavito,natural,Summer,2020,2,0.65,wetland,is,26.178,-97.351
Gavito,natural,Winter,2020,2,0.65,wetland,is,26.178,-97.351
Gavito,natural,Winter,2021,3,0.65,wetland,is,26.178,-97.351
Gavito,natural,Summer,2023,3,0.65,wetland,is,26.178,-97.351
Gavito,Natural,Summer,2023,3,0.65,wetland,is,26.178,-97.351
Gavito,natural,Winter,2023,4,0.65,wetland,is,26.204,-98.271
Gavito,natural,Summer,2021,6,0.65,wetland,is,26.204,-98.271
LANWR far north,natural,Summer,2023,2,0.71,wetland,is,26.204,-98.271
Unit 1 entrance,Natural,Summer,2023,2,0.77,crops,not,26.204,-98.271
Little Loma,natural,Summer,2018,2,0.89,wetland,is,26.204,-98.271
